"r","value"
"al",0.32964669836762
"ak",0.32964669836762
"az",0.32964669836762
"ar",0.32964669836762
"ca",0.32964669836762
"co",0.32964669836762
"ct",0.32964669836762
"de",0.32964669836762
"dc",0.32964669836762
"fl",0.32964669836762
"ga",0.32964669836762
"hi",0.32964669836762
"id",0.32964669836762
"il",0.32964669836762
"in",0.32964669836762
"ia",0.32964669836762
"ks",0.32964669836762
"ky",0.32964669836762
"la",0.32964669836762
"me",0.32964669836762
"md",0.32964669836762
"ma",0.32964669836762
"mi",0.32964669836762
"mn",0.32964669836762
"ms",0.32964669836762
"mo",0.32964669836762
"mt",0.32964669836762
"ne",0.32964669836762
"nv",0.32964669836762
"nh",0.32964669836762
"nj",0.32964669836762
"nm",0.32964669836762
"ny",0.32964669836762
"nc",0.32964669836762
"nd",0.32964669836762
"oh",0.32964669836762
"ok",0.32964669836762
"or",0.32964669836762
"pa",0.32964669836762
"ri",0.32964669836762
"sc",0.32964669836762
"sd",0.32964669836762
"tn",0.32964669836762
"tx",0.32964669836762
"ut",0.32964669836762
"vt",0.32964669836762
"va",0.32964669836762
"wa",0.32964669836762
"wv",0.32964669836762
"wi",0.32964669836762
"wy",0.32964669836762
